ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"Department\" Name=\"field_1\" ID=\"{3f140692-3824-49ff-a318-fc3eb11cf549}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"Expense Type\" Name=\"field_2\" ID=\"{6cae3180-96aa-4656-9636-2ab3e12dcfed}\" StaticName=\"field_2\" />","<Field Type=\"Number\" DisplayName=\"Amount\" Name=\"field_3\" ID=\"{4a0594f6-98de-43eb-8918-af1c1f0e3bd6}\" StaticName=\"field_3\" />","<Field Type=\"Text\" DisplayName=\"Date\" Name=\"field_4\" ID=\"{b3d8c2c6-0aab-4154-9068-06cee7518de0}\" StaticName=\"field_4\" />","<Field Type=\"Text\" DisplayName=\"Location\" Name=\"field_5\" ID=\"{f3bc0e3a-d5e2-44b6-939a-9a03b27d60ee}\" StaticName=\"field_5\" />","<Field Type=\"Text\" DisplayName=\"Project Name\" Name=\"field_6\" ID=\"{2cf6ec90-c493-402b-9afa-5757aab0e868}\" StaticName=\"field_6\" />","<Field Type=\"Text\" DisplayName=\"Vendor\" Name=\"field_7\" ID=\"{1fd1aba8-a35c-4ffc-8e14-62b233b71932}\" StaticName=\"field_7\" />","<Field Type=\"Text\" DisplayName=\"Payment Method\" Name=\"field_8\" ID=\"{a218832c-9d9b-48b7-a596-6fda40b3c6e0}\" StaticName=\"field_8\" />","<Field Type=\"Text\" DisplayName=\"Approval Status\" Name=\"field_9\" ID=\"{168c6ca9-7cfc-4fc0-89f7-d603cff04c3a}\" StaticName=\"field_9\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Company Name\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Company Name","Department","Expense Type","Amount","Date","Location","Project Name","Vendor","Payment Method","Approval Status"
"NetFusion","HR","Training","7,171.37","2024-10-26","Bangalore","Athena","VendorE","Bank Transfer","Pending"
"CyberCore","HR","Utilities","5,917.2","2024-10-12","New York","Zeus","VendorE","PayPal","Approved"
"NetFusion","Operations","Travel","2,666.34","2024-09-21","New York","Apollo","VendorE","Cheque","Rejected"
"CyberCore","IT","Travel","5,666.92","2025-07-03","Toronto","Apollo","VendorC","Bank Transfer","Pending"
"CyberCore","Marketing","Hardware","833.5","2025-06-13","New York","Orion","VendorD","PayPal","Approved"
"NetFusion","HR","Salaries","2,298.48","2025-02-08","New York","Hermes","VendorA","Credit Card","Rejected"
"InnoSoft","Operations","Salaries","2,661.52","2025-05-09","London","Apollo","VendorC","Bank Transfer","Rejected"
"NetFusion","IT","Training","9,422.41","2025-06-11","Berlin","Athena","VendorA","Credit Card","Rejected"
"DataWave","Finance","Consulting","7,188.82","2025-04-29","London","Zeus","VendorC","Credit Card","Approved"
"DataWave","Marketing","Consulting","9,345.27","2024-09-24","Toronto","Athena","VendorC","Cheque","Pending"
"TechNova","Operations","Consulting","2,851.03","2024-10-21","London","Apollo","VendorA","PayPal","Approved"
"TechNova","IT","Utilities","9,940.51","2025-03-03","San Francisco","Hermes","VendorD","Bank Transfer","Pending"
"InnoSoft","Operations","Hardware","9,359.02","2024-09-22","Bangalore","Zeus","VendorD","Bank Transfer","Pending"
"InnoSoft","IT","Hardware","4,424.14","2024-07-26","London","Zeus","VendorC","Cheque","Pending"
"InnoSoft","Marketing","Travel","8,951.52","2025-01-23","Toronto","Apollo","VendorD","Cheque","Approved"
"DataWave","R&D","Hardware","8,497.29","2024-11-06","San Francisco","Athena","VendorE","Credit Card","Rejected"
"InnoSoft","IT","Salaries","8,789.26","2025-06-19","San Francisco","Hermes","VendorD","Credit Card","Rejected"
"CyberCore","Operations","Software","5,087.91","2025-06-10","Toronto","Zeus","VendorB","Bank Transfer","Pending"
"InnoSoft","Marketing","Travel","8,937.67","2025-01-13","Toronto","Hermes","VendorA","Credit Card","Approved"
"CyberCore","HR","Salaries","8,691.64","2025-05-28","London","Zeus","VendorD","Cheque","Pending"
"InnoSoft","R&D","Hardware","7,276.03","2025-02-24","Bangalore","Athena","VendorC","Cheque","Rejected"
"DataWave","R&D","Travel","5,647.47","2024-11-04","Bangalore","Hermes","VendorB","Bank Transfer","Pending"
"TechNova","Operations","Hardware","2,889.84","2025-03-28","New York","Hermes","VendorC","Cheque","Approved"
"DataWave","Marketing","Software","6,711.25","2025-03-11","Bangalore","Hermes","VendorE","Bank Transfer","Approved"
"DataWave","Finance","Utilities","1,146.73","2025-07-09","Toronto","Athena","VendorC","Bank Transfer","Approved"
"NetFusion","IT","Hardware","861.33","2025-04-12","Bangalore","Hermes","VendorE","Credit Card","Approved"
"NetFusion","HR","Training","1,877.39","2025-04-08","New York","Zeus","VendorD","Credit Card","Rejected"
"CyberCore","Marketing","Salaries","4,024.66","2025-03-21","Toronto","Zeus","VendorE","Cheque","Approved"
"NetFusion","Operations","Software","7,756.76","2025-03-06","London","Zeus","VendorB","Credit Card","Rejected"
"CyberCore","Operations","Travel","5,697.76","2025-04-10","Berlin","Hermes","VendorB","Cheque","Approved"
"InnoSoft","IT","Training","6,642.66","2024-09-25","London","Athena","VendorB","PayPal","Rejected"
"DataWave","Marketing","Software","8,917.71","2025-02-26","Toronto","Athena","VendorD","Bank Transfer","Approved"
"CyberCore","Marketing","Consulting","9,393.08","2025-05-19","San Francisco","Orion","VendorD","PayPal","Pending"
"CyberCore","HR","Consulting","7,092.54","2025-05-25","Bangalore","Zeus","VendorE","Cheque","Approved"
"CyberCore","IT","Travel","3,863.39","2024-10-09","Bangalore","Orion","VendorA","Bank Transfer","Pending"
"InnoSoft","Marketing","Training","5,455.91","2025-06-09","Bangalore","Orion","VendorE","Cheque","Pending"
"NetFusion","Operations","Utilities","6,559.42","2025-06-22","London","Zeus","VendorE","PayPal","Approved"
"DataWave","Marketing","Salaries","1,717.35","2025-01-07","San Francisco","Orion","VendorA","Bank Transfer","Pending"
"DataWave","HR","Salaries","2,144.59","2024-08-12","Berlin","Apollo","VendorC","Cheque","Pending"
"InnoSoft","Finance","Travel","6,581.4","2024-11-02","San Francisco","Hermes","VendorA","Credit Card","Rejected"
"DataWave","HR","Training","3,106.24","2025-06-23","New York","Apollo","VendorD","Credit Card","Rejected"
"DataWave","Marketing","Consulting","1,826.81","2024-11-24","New York","Apollo","VendorD","Credit Card","Pending"
"InnoSoft","Marketing","Hardware","416.1","2024-11-19","New York","Athena","VendorA","Credit Card","Approved"
"CyberCore","IT","Salaries","9,552.19","2025-04-27","San Francisco","Athena","VendorC","PayPal","Pending"
"CyberCore","Marketing","Hardware","8,326.62","2025-05-14","Berlin","Apollo","VendorB","Cheque","Approved"
"CyberCore","Marketing","Travel","5,113.71","2025-03-07","Toronto","Zeus","VendorB","Bank Transfer","Approved"
"TechNova","Marketing","Salaries","9,396.33","2024-10-07","Berlin","Hermes","VendorC","Credit Card","Pending"
"TechNova","Marketing","Salaries","2,066.47","2025-06-18","London","Athena","VendorE","PayPal","Rejected"
"NetFusion","Finance","Software","5,702.62","2024-09-15","Bangalore","Orion","VendorD","Bank Transfer","Pending"
"InnoSoft","IT","Travel","7,216.03","2024-09-27","Toronto","Orion","VendorD","Bank Transfer","Pending"
"TechNova","R&D","Software","3,058.34","2024-12-18","London","Apollo","VendorD","Cheque","Pending"
"TechNova","R&D","Consulting","4,414.89","2024-12-14","New York","Hermes","VendorB","Bank Transfer","Rejected"
"NetFusion","IT","Consulting","2,199.09","2024-08-04","Berlin","Apollo","VendorB","PayPal","Pending"
"TechNova","Finance","Salaries","9,271.63","2025-01-08","London","Athena","VendorE","Credit Card","Rejected"
"InnoSoft","R&D","Training","7,892.98","2025-05-03","London","Athena","VendorC","PayPal","Approved"
"NetFusion","R&D","Utilities","1,058.65","2024-10-08","Toronto","Athena","VendorE","PayPal","Pending"
"TechNova","Finance","Hardware","9,536.58","2024-10-14","Berlin","Apollo","VendorC","Credit Card","Rejected"
"CyberCore","Marketing","Utilities","4,926.82","2025-05-03","London","Hermes","VendorE","Credit Card","Pending"
"CyberCore","HR","Travel","3,971.56","2024-09-30","London","Apollo","VendorC","Credit Card","Pending"
"DataWave","Operations","Utilities","3,796.04","2025-01-03","London","Orion","VendorB","Bank Transfer","Rejected"
"TechNova","Marketing","Utilities","5,656.83","2025-01-31","Toronto","Hermes","VendorA","Credit Card","Rejected"
"CyberCore","HR","Consulting","5,549.02","2024-11-19","San Francisco","Orion","VendorB","Credit Card","Rejected"
"NetFusion","HR","Consulting","2,091.2","2025-02-17","Bangalore","Orion","VendorB","Bank Transfer","Pending"
"DataWave","Marketing","Utilities","1,554.75","2025-07-10","San Francisco","Zeus","VendorD","Bank Transfer","Approved"
"InnoSoft","IT","Hardware","3,619.24","2024-08-03","New York","Athena","VendorB","Bank Transfer","Approved"
"InnoSoft","R&D","Travel","7,784.43","2024-07-20","Bangalore","Hermes","VendorE","PayPal","Rejected"
"NetFusion","Marketing","Travel","1,147.97","2024-08-19","New York","Zeus","VendorD","Credit Card","Rejected"
"InnoSoft","IT","Salaries","9,758.65","2024-09-08","New York","Athena","VendorB","Bank Transfer","Pending"
"InnoSoft","Operations","Travel","3,746.73","2025-03-19","San Francisco","Athena","VendorA","Bank Transfer","Rejected"
"InnoSoft","Operations","Consulting","1,578.19","2025-05-12","Bangalore","Zeus","VendorE","Bank Transfer","Pending"
"TechNova","HR","Travel","752.31","2024-10-28","Bangalore","Zeus","VendorC","Credit Card","Rejected"
"InnoSoft","Marketing","Hardware","2,568.65","2025-06-27","Toronto","Apollo","VendorC","PayPal","Pending"
"InnoSoft","Marketing","Training","7,595.92","2025-07-10","San Francisco","Apollo","VendorB","PayPal","Approved"
"TechNova","Marketing","Travel","1,069.42","2025-04-24","Toronto","Hermes","VendorA","Bank Transfer","Approved"
"NetFusion","HR","Software","1,544.03","2025-04-27","Bangalore","Apollo","VendorD","PayPal","Approved"
"TechNova","Marketing","Software","9,805.61","2025-02-08","San Francisco","Hermes","VendorB","Cheque","Rejected"
"DataWave","Marketing","Software","8,423.3","2024-10-20","San Francisco","Apollo","VendorA","Bank Transfer","Pending"
"InnoSoft","Finance","Consulting","8,281.88","2024-08-17","Bangalore","Orion","VendorB","Bank Transfer","Rejected"
"DataWave","Finance","Salaries","9,594.51","2024-12-05","London","Apollo","VendorD","PayPal","Rejected"
"InnoSoft","Marketing","Training","5,911.24","2024-11-29","Toronto","Athena","VendorD","PayPal","Approved"
"TechNova","IT","Utilities","1,585.32","2025-02-07","San Francisco","Orion","VendorB","Cheque","Pending"
"DataWave","HR","Travel","1,713.34","2024-11-22","Toronto","Athena","VendorC","Credit Card","Pending"
"TechNova","IT","Consulting","2,973.97","2024-12-04","London","Apollo","VendorB","Credit Card","Approved"
"TechNova","Marketing","Utilities","3,868.66","2024-11-03","London","Zeus","VendorE","Credit Card","Rejected"
"DataWave","IT","Consulting","8,283.23","2025-02-20","Bangalore","Orion","VendorE","Bank Transfer","Pending"
"InnoSoft","Marketing","Hardware","5,605.48","2025-07-09","San Francisco","Orion","VendorE","Cheque","Approved"
"NetFusion","HR","Utilities","1,533.25","2025-06-06","London","Zeus","VendorA","Cheque","Pending"
"NetFusion","Marketing","Utilities","3,676.63","2024-08-07","London","Hermes","VendorB","Bank Transfer","Pending"
"CyberCore","IT","Consulting","8,556.28","2025-01-13","London","Apollo","VendorD","Bank Transfer","Approved"
"InnoSoft","R&D","Utilities","9,128.46","2024-12-21","Bangalore","Orion","VendorE","PayPal","Pending"
"TechNova","Finance","Training","4,112.52","2024-10-02","Berlin","Zeus","VendorE","Bank Transfer","Pending"
"InnoSoft","Marketing","Software","5,391.11","2024-08-26","Berlin","Zeus","VendorE","Credit Card","Approved"
"NetFusion","IT","Travel","5,665.59","2024-11-10","London","Hermes","VendorB","Bank Transfer","Pending"
"NetFusion","IT","Utilities","9,191.78","2024-09-28","New York","Orion","VendorE","Bank Transfer","Pending"
"InnoSoft","IT","Hardware","3,854.89","2025-06-21","San Francisco","Apollo","VendorC","PayPal","Pending"
"TechNova","R&D","Salaries","4,894.89","2025-05-14","Toronto","Orion","VendorD","Cheque","Pending"
"NetFusion","Marketing","Utilities","4,012.42","2024-09-15","London","Zeus","VendorA","Bank Transfer","Pending"
"NetFusion","HR","Utilities","8,666.27","2024-07-15","San Francisco","Orion","VendorB","Credit Card","Rejected"
"CyberCore","Finance","Utilities","8,492.52","2025-05-31","Toronto","Athena","VendorC","PayPal","Pending"
"DataWave","R&D","Training","757.06","2025-03-10","Bangalore","Hermes","VendorB","Bank Transfer","Approved"
"InnoSoft","R&D","Travel","9,681.16","2025-05-10","Toronto","Hermes","VendorD","Credit Card","Rejected"
"TechNova","Operations","Training","4,640.02","2025-03-17","New York","Hermes","VendorB","Bank Transfer","Rejected"
"InnoSoft","HR","Travel","5,733.85","2025-03-11","Bangalore","Athena","VendorE","Cheque","Rejected"
"CyberCore","Operations","Software","5,140.94","2025-06-12","New York","Orion","VendorC","Bank Transfer","Approved"
"InnoSoft","Marketing","Training","9,721.69","2024-08-22","London","Hermes","VendorD","PayPal","Pending"
"InnoSoft","Operations","Training","2,360.93","2024-08-28","Toronto","Orion","VendorB","Credit Card","Pending"
"NetFusion","Finance","Salaries","3,536.43","2024-12-04","San Francisco","Hermes","VendorD","PayPal","Rejected"
"InnoSoft","R&D","Software","8,479.94","2025-05-05","San Francisco","Zeus","VendorD","Cheque","Approved"
"CyberCore","IT","Utilities","1,772.63","2025-04-05","Bangalore","Orion","VendorE","Credit Card","Rejected"
"DataWave","HR","Hardware","9,934.39","2025-05-04","Bangalore","Hermes","VendorC","Bank Transfer","Pending"
"TechNova","Operations","Salaries","9,320.3","2025-03-31","San Francisco","Apollo","VendorD","Bank Transfer","Pending"
"CyberCore","Marketing","Utilities","3,576.82","2025-06-13","Bangalore","Apollo","VendorB","Credit Card","Approved"
"NetFusion","Marketing","Utilities","248.68","2025-04-21","New York","Apollo","VendorB","Bank Transfer","Pending"
"DataWave","Marketing","Salaries","5,516.7","2024-07-19","Toronto","Zeus","VendorA","PayPal","Rejected"
"CyberCore","IT","Hardware","5,834.2","2025-04-24","San Francisco","Orion","VendorA","Cheque","Rejected"
"TechNova","Operations","Training","2,314.82","2024-08-24","Bangalore","Zeus","VendorE","Cheque","Pending"
"TechNova","R&D","Software","8,575.04","2025-03-09","London","Apollo","VendorC","Cheque","Rejected"
"TechNova","HR","Travel","5,669.9","2024-07-29","Toronto","Athena","VendorB","Bank Transfer","Rejected"
"DataWave","Marketing","Travel","9,166.75","2024-12-22","Toronto","Zeus","VendorA","Cheque","Rejected"
"NetFusion","Finance","Training","7,323.28","2024-10-26","New York","Athena","VendorE","PayPal","Rejected"
"DataWave","Marketing","Consulting","1,850.91","2025-02-16","Berlin","Athena","VendorC","Credit Card","Pending"
"NetFusion","Operations","Salaries","7,303.35","2025-06-14","London","Hermes","VendorC","Cheque","Pending"
"TechNova","HR","Consulting","3,626.29","2025-06-06","London","Orion","VendorB","Bank Transfer","Rejected"
"NetFusion","Operations","Salaries","767.75","2025-06-03","London","Hermes","VendorC","Cheque","Rejected"
"InnoSoft","Operations","Training","4,811.78","2025-01-19","San Francisco","Hermes","VendorE","Credit Card","Rejected"
"TechNova","Marketing","Software","3,580.43","2025-04-03","Bangalore","Zeus","VendorE","Credit Card","Rejected"
"CyberCore","Finance","Training","2,040.53","2025-03-10","Berlin","Hermes","VendorC","Credit Card","Approved"
"TechNova","R&D","Consulting","3,033.23","2024-10-16","London","Hermes","VendorD","PayPal","Pending"
"NetFusion","Marketing","Travel","3,588.72","2025-01-25","New York","Orion","VendorC","Credit Card","Rejected"
"NetFusion","R&D","Software","8,849.69","2024-08-28","Toronto","Athena","VendorE","Bank Transfer","Approved"
"InnoSoft","HR","Hardware","1,577.24","2025-06-15","New York","Hermes","VendorA","Cheque","Approved"
"CyberCore","Operations","Travel","7,462.07","2025-02-14","Toronto","Hermes","VendorB","Bank Transfer","Rejected"
"DataWave","HR","Training","255.43","2025-05-07","Toronto","Zeus","VendorC","Bank Transfer","Rejected"
"InnoSoft","Marketing","Utilities","293.01","2025-02-23","Bangalore","Orion","VendorD","Bank Transfer","Rejected"
"TechNova","IT","Salaries","8,585.4","2025-07-09","Toronto","Athena","VendorA","PayPal","Pending"
"DataWave","HR","Hardware","9,043.15","2025-01-22","London","Apollo","VendorE","Credit Card","Approved"
"InnoSoft","Marketing","Software","2,552.42","2024-07-18","Bangalore","Athena","VendorD","Cheque","Approved"
"InnoSoft","Operations","Utilities","2,741.34","2024-08-07","New York","Apollo","VendorE","PayPal","Pending"
"InnoSoft","Operations","Training","7,024.89","2025-02-25","New York","Zeus","VendorA","Credit Card","Approved"
"TechNova","Operations","Travel","3,612.09","2024-12-17","Berlin","Orion","VendorA","PayPal","Rejected"
"NetFusion","Finance","Training","4,040.64","2025-06-05","Berlin","Hermes","VendorD","Cheque","Rejected"
"DataWave","IT","Travel","6,988.07","2025-03-16","San Francisco","Athena","VendorE","Bank Transfer","Pending"
"InnoSoft","HR","Travel","3,902.18","2025-05-04","Toronto","Zeus","VendorE","Cheque","Rejected"
"CyberCore","Operations","Travel","5,085.54","2024-12-16","Bangalore","Orion","VendorB","Credit Card","Approved"
"NetFusion","IT","Travel","9,497.45","2025-07-01","San Francisco","Zeus","VendorE","PayPal","Rejected"
"InnoSoft","Marketing","Salaries","3,080.77","2024-08-23","London","Zeus","VendorA","Cheque","Approved"
"InnoSoft","IT","Travel","805.92","2024-11-12","London","Hermes","VendorC","Bank Transfer","Pending"
"DataWave","HR","Hardware","1,385.74","2024-08-21","London","Apollo","VendorA","Credit Card","Rejected"
"DataWave","Finance","Travel","6,028.59","2024-08-12","San Francisco","Zeus","VendorC","Credit Card","Approved"
"NetFusion","Finance","Travel","3,075.89","2024-09-23","San Francisco","Orion","VendorE","Credit Card","Pending"
"NetFusion","R&D","Utilities","1,823.79","2024-08-06","Toronto","Hermes","VendorA","Credit Card","Rejected"
"DataWave","Operations","Consulting","5,238.73","2024-12-05","Toronto","Orion","VendorC","Bank Transfer","Pending"
"InnoSoft","Operations","Hardware","4,240.24","2025-06-19","London","Apollo","VendorA","Cheque","Approved"
"TechNova","Marketing","Consulting","4,221.86","2025-01-08","Toronto","Athena","VendorB","Credit Card","Pending"
"DataWave","Marketing","Salaries","360.9","2024-07-25","New York","Athena","VendorC","Bank Transfer","Approved"
"CyberCore","HR","Hardware","9,271.07","2024-11-08","Berlin","Athena","VendorA","Bank Transfer","Pending"
"TechNova","Operations","Software","1,667.61","2025-02-04","San Francisco","Zeus","VendorC","Bank Transfer","Approved"
"TechNova","IT","Salaries","388.74","2025-05-18","Bangalore","Hermes","VendorD","Credit Card","Pending"
"TechNova","Operations","Utilities","4,730.48","2025-07-09","Berlin","Zeus","VendorD","Cheque","Rejected"
"NetFusion","Marketing","Hardware","8,802.66","2024-08-27","San Francisco","Hermes","VendorA","Cheque","Rejected"
"TechNova","Finance","Travel","2,191.83","2024-09-20","Bangalore","Apollo","VendorA","Cheque","Rejected"
"DataWave","R&D","Consulting","9,945.19","2025-03-12","Berlin","Hermes","VendorE","Bank Transfer","Approved"
"InnoSoft","Marketing","Hardware","3,383.63","2024-12-11","San Francisco","Orion","VendorB","Credit Card","Pending"
"NetFusion","Operations","Training","145.78","2024-08-27","Toronto","Zeus","VendorA","PayPal","Approved"
"InnoSoft","Marketing","Salaries","2,947.29","2024-08-31","Bangalore","Hermes","VendorA","Credit Card","Approved"
"CyberCore","HR","Hardware","4,821.46","2025-01-12","New York","Zeus","VendorC","Credit Card","Rejected"
"NetFusion","IT","Salaries","7,061.47","2024-08-03","San Francisco","Athena","VendorD","Credit Card","Pending"
"TechNova","IT","Training","7,117.36","2025-01-17","Toronto","Apollo","VendorA","Bank Transfer","Pending"
"TechNova","IT","Travel","8,430.94","2024-07-15","Bangalore","Orion","VendorC","PayPal","Approved"
"CyberCore","Finance","Consulting","8,268.67","2024-10-06","London","Orion","VendorC","Bank Transfer","Approved"
"TechNova","Finance","Travel","760.9","2025-01-05","Bangalore","Zeus","VendorD","PayPal","Pending"
"CyberCore","IT","Training","645.25","2024-09-13","London","Hermes","VendorC","Bank Transfer","Pending"
"DataWave","HR","Consulting","4,432.91","2024-09-21","Berlin","Orion","VendorA","Cheque","Pending"
"DataWave","Marketing","Training","5,725.39","2025-06-21","London","Zeus","VendorA","Credit Card","Rejected"
"DataWave","IT","Travel","6,955.57","2025-05-29","New York","Orion","VendorD","Bank Transfer","Pending"
"InnoSoft","HR","Consulting","8,794.45","2024-09-20","New York","Zeus","VendorD","PayPal","Approved"
"CyberCore","R&D","Utilities","7,101.3","2025-06-30","Toronto","Orion","VendorD","PayPal","Approved"
"DataWave","HR","Software","9,181.17","2024-07-28","San Francisco","Hermes","VendorC","Bank Transfer","Pending"
"InnoSoft","HR","Travel","420","2025-05-30","Toronto","Orion","VendorE","PayPal","Pending"
"TechNova","Operations","Salaries","7,187.61","2025-06-11","Berlin","Athena","VendorC","Credit Card","Rejected"
"TechNova","R&D","Hardware","7,991.14","2025-06-12","Bangalore","Athena","VendorA","Cheque","Pending"
"DataWave","IT","Travel","649.75","2025-03-19","New York","Orion","VendorA","Credit Card","Rejected"
"NetFusion","IT","Hardware","6,637.6","2025-02-14","Bangalore","Apollo","VendorD","PayPal","Approved"
"CyberCore","Finance","Salaries","5,781.78","2025-01-27","New York","Orion","VendorC","PayPal","Rejected"
"CyberCore","Operations","Hardware","6,045.89","2024-11-23","Toronto","Hermes","VendorC","Bank Transfer","Approved"
"InnoSoft","IT","Consulting","5,925.47","2024-09-22","Toronto","Zeus","VendorC","Credit Card","Rejected"
"TechNova","Finance","Utilities","3,908.59","2025-07-05","Toronto","Athena","VendorD","PayPal","Approved"
"InnoSoft","HR","Salaries","658.34","2025-06-13","Berlin","Apollo","VendorD","Bank Transfer","Approved"
"DataWave","R&D","Salaries","4,049.21","2025-01-10","Toronto","Hermes","VendorB","PayPal","Rejected"
"DataWave","HR","Software","7,598.55","2024-12-31","Bangalore","Zeus","VendorA","Cheque","Rejected"
"DataWave","Operations","Utilities","614.77","2025-04-23","Toronto","Athena","VendorD","Credit Card","Approved"
"DataWave","IT","Training","2,977.52","2024-12-25","London","Apollo","VendorC","Cheque","Approved"
"NetFusion","HR","Training","3,390.74","2024-08-28","Berlin","Zeus","VendorC","PayPal","Approved"
"NetFusion","Marketing","Utilities","6,710.63","2025-04-19","San Francisco","Orion","VendorD","Credit Card","Approved"
"TechNova","Marketing","Consulting","2,852.52","2025-06-03","New York","Orion","VendorB","Bank Transfer","Approved"
"TechNova","Operations","Software","9,526.18","2025-05-19","Bangalore","Athena","VendorD","Cheque","Rejected"
"NetFusion","Operations","Utilities","3,282.81","2025-04-18","Bangalore","Hermes","VendorD","Cheque","Pending"
"InnoSoft","IT","Travel","7,077.82","2025-05-02","Toronto","Hermes","VendorC","Credit Card","Pending"
"DataWave","Finance","Training","2,714.62","2024-12-11","Bangalore","Apollo","VendorE","Credit Card","Approved"
"TechNova","HR","Travel","4,854.76","2024-10-14","London","Zeus","VendorB","Credit Card","Rejected"
"InnoSoft","Marketing","Software","5,338.63","2025-06-09","London","Athena","VendorA","PayPal","Approved"
"NetFusion","Operations","Utilities","8,449.16","2025-01-12","New York","Orion","VendorB","Cheque","Pending"
"InnoSoft","IT","Utilities","5,199.57","2025-01-11","Toronto","Zeus","VendorD","PayPal","Rejected"
"TechNova","R&D","Travel","1,623.51","2025-02-05","Berlin","Orion","VendorB","Credit Card","Approved"
"NetFusion","R&D","Software","1,553.23","2025-05-08","Bangalore","Apollo","VendorC","Credit Card","Approved"
"NetFusion","R&D","Training","2,808.69","2025-05-14","San Francisco","Zeus","VendorC","Cheque","Approved"
"CyberCore","Finance","Training","6,810.78","2024-07-23","Bangalore","Orion","VendorC","PayPal","Pending"
"NetFusion","IT","Consulting","806.69","2024-07-31","Berlin","Zeus","VendorA","PayPal","Rejected"
"TechNova","IT","Software","896.88","2025-06-03","London","Zeus","VendorE","Credit Card","Approved"
"InnoSoft","Marketing","Salaries","6,484.04","2025-04-20","Berlin","Athena","VendorE","Cheque","Pending"
"NetFusion","R&D","Training","9,172.21","2025-05-28","New York","Orion","VendorE","Cheque","Rejected"
"TechNova","HR","Salaries","6,358.28","2025-02-19","Berlin","Athena","VendorA","Credit Card","Approved"
"TechNova","HR","Salaries","3,236.85","2025-02-17","Bangalore","Hermes","VendorB","Cheque","Approved"
"DataWave","Marketing","Hardware","1,441.69","2024-07-25","New York","Hermes","VendorD","Bank Transfer","Approved"
"InnoSoft","R&D","Travel","4,201.16","2024-09-24","Toronto","Athena","VendorD","Cheque","Approved"
"CyberCore","R&D","Training","8,596.55","2025-03-01","San Francisco","Athena","VendorA","Bank Transfer","Approved"
"InnoSoft","HR","Training","8,374.68","2025-02-17","Berlin","Orion","VendorC","PayPal","Rejected"
"DataWave","Finance","Utilities","8,471.8","2025-03-13","San Francisco","Hermes","VendorB","Bank Transfer","Pending"
"InnoSoft","Finance","Travel","9,104.4","2024-07-11","New York","Orion","VendorE","Cheque","Rejected"
"TechNova","Operations","Utilities","9,228.2","2025-05-19","London","Athena","VendorB","Cheque","Pending"
"TechNova","HR","Utilities","9,689.71","2025-02-09","London","Zeus","VendorE","PayPal","Rejected"
"InnoSoft","Marketing","Software","4,897.39","2025-02-15","San Francisco","Hermes","VendorA","Credit Card","Pending"
"TechNova","IT","Software","8,581.16","2025-01-24","Bangalore","Orion","VendorE","Bank Transfer","Approved"
"NetFusion","Operations","Utilities","4,103.56","2025-03-09","Toronto","Athena","VendorD","Bank Transfer","Rejected"
"TechNova","Marketing","Software","2,920.67","2025-05-13","London","Orion","VendorB","Credit Card","Approved"
"DataWave","R&D","Travel","2,690.1","2025-03-13","Bangalore","Orion","VendorC","Bank Transfer","Pending"
"TechNova","Finance","Utilities","1,182.65","2025-06-11","Toronto","Athena","VendorB","PayPal","Approved"
"InnoSoft","R&D","Training","7,328.96","2024-07-30","San Francisco","Orion","VendorC","Bank Transfer","Approved"
